,Location,Price,Apt Type,Num of Bath,Neighborhood,District
9151,Madison Avenue NoMad,"5,995","2 Bed
/ Flex 3",1,NoMad, Midtown Manhattan
9152,"301 East 108th Street, Apt 12","2,595",1 Bed,1,"East Harlem, Harlem", Upper Manhattan
9153,Water Street,"3,071",Studio,1,Financial District, Downtown Manhattan
9154,Gold Street,"2,545","Studio
/ Flex 2",1,Financial District, Downtown Manhattan
9155,"3rd Ave , East 89th Street","2,400",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
9156,Madison Avenue NoMad,"5,995","2 Bed
/ Flex 3",1,NoMad, Midtown Manhattan
9157,37.5 Bedford Street,"3,000",Studio,1,West Village, Downtown Manhattan
9158,"301 East 108th Street, Apt 12","2,595",1 Bed,1,"East Harlem, Harlem", Upper Manhattan
9159,Wall Street,"4,360",1 Bed,1,Financial District, Downtown Manhattan
9160,"850 Amsterdam Avenue, Apt 2","2,700",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
9161,west 52 street,"3,777",1 Bed,1,Hell's Kitchen, Midtown Manhattan
9162,Pine Street,"6,215",2 Bed,2,Financial District, Downtown Manhattan
9163,"523 West 187th Street, Apt 5D","2,300",2 Bed,1,"Fort George, Washington Heights", Upper Manhattan
9164,Water Street,"3,071","Studio
/ Flex 1",1,Financial District, Downtown Manhattan
9165,East 56th Street,"5,300","2 Bed
/ Flex 3",1,Midtown East, Midtown Manhattan
9166,Pine Street,"3,951",Studio,1,Financial District, Downtown Manhattan
9167,East 10th Street,"3,495",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
9168,West 43rd Street Hell's Kitche...,"4,000","1 Bed
/ Flex 2",1,Hell's Kitchen, Midtown Manhattan
9169,"57 Thompson Street, Apt 1B","3,895",1 Bed,1,SoHo, Downtown Manhattan
9170,"1661 York Avenue, Apt 3B","2,250",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
9171,East 46th Street,"3,595",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
9172,East 34th Street,"3,425",Studio,1,Kips Bay, Midtown Manhattan
9173,37.5 Bedford Street,"3,750",Studio,1,West Village, Downtown Manhattan
9174,"227 East 83rd Street, Apt 1E","2,600",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
9175,York Avenue,"2,250",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
9176,Mercer Street,"6,300",1 Bed,1,Greenwich Village, Downtown Manhattan
9177,Gold Street,"6,495","2 Bed
/ Flex 3",2,Financial District, Downtown Manhattan
9178,East 25th Street & 3rd Ave *NO...,"3,495",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
9179,East 38th Street,"4,100",1 Bed,1,Murray Hill, Midtown Manhattan
9180,1st Ave and E 59th St,"2,250",Studio,1,"Sutton Place, Midtown East", Midtown Manhattan
9181,"1317 1st Avenue, Apt 4B","2,200",Studio,1,Upper East Side, Upper Manhattan
9182,West 57th Street,"3,640",Studio,1,Hell's Kitchen, Midtown Manhattan
9183,Wall Street,"3,896",1 Bed,1,Financial District, Downtown Manhattan
9184,East 95th Street,"3,620","1 Bed
/ Flex 2",1,"Yorkville, Upper East Side", Upper Manhattan
9185,"14 St Marks Place, Apt 5E","1,095",Studio,1,East Village, Downtown Manhattan
9186,"165 East 83rd Street, Apt 2E","3,100",1 Bed,1,Upper East Side, Upper Manhattan
9187,W 14th St,"6,495",1 Bed,1,Flatiron District, Midtown Manhattan
9188,6th Ave/29,"5,320",1 Bed,1,Midtown South, Midtown Manhattan
9189,West 52nd Street,"6,500",3 Bed,3,Hell's Kitchen, Midtown Manhattan
9190,Horatio Street,"4,695",Studio,1,West Village, Downtown Manhattan
9191,Tenth Avenue,"4,395",2 Bed,1,Hell's Kitchen, Midtown Manhattan
9192,Water Street,"2,800",1 Bed,1,Financial District, Downtown Manhattan
9193,East 36th Street,"2,795",Studio,1,Murray Hill, Midtown Manhattan
9194,East 77th Street,"7,695",3 Bed,2,Upper East Side, Upper Manhattan
9195,west 42 street,"6,400",3 Bed,2,Hudson Yards, Midtown Manhattan
9196,"East 12th Street, Unit 7m","6,095",1 Bed,1,Greenwich Village, Downtown Manhattan
9197,Fourth Avenue,"5,950",1 Bed,1,Greenwich Village, Downtown Manhattan
9198,East 7th Street,"3,699",1 Bed,1,East Village, Downtown Manhattan
9199,Beekman,"5,319",1 Bed,1,Financial District, Downtown Manhattan
9200,Walker Street,"9,750",2 Bed,2,Civic Center, Downtown Manhattan
9201,JOhn Street,"4,000","1 Bed
/ Flex 3",1,Financial District, Downtown Manhattan
9202,West 35th Street,"3,425",Studio,1,Hudson Yards, Midtown Manhattan
9203,East 81st Street,"7,495",3 Bed,2,Upper East Side, Upper Manhattan
9204,East 46th Street,"3,595",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
9205,"145 West 79th Street, Apt C LI...","4,850",1 Bed,1,Upper West Side, Upper Manhattan
9206,Wall St.,"3,614","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
9207,East 46th Street,"2,975",Studio,1,"Turtle Bay, Midtown East", Midtown Manhattan
9208,"452 Fort Washington Ave, Apt 5...","3,350",3 Bed,2,"Hudson Heights, Washington Heights", Upper Manhattan
9209,East 89th Street,"3,360",2 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
9210,10th Avenue,"2,954",Studio,1,Hudson Yards, Midtown Manhattan
9211,West 68th Street,"6,800",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
9212,E 6th St.,"5,495",3 Bed,2,"Alphabet City, East Village", Downtown Manhattan
9213,"145 4th Avenue, Apt B","5,800",1 Bed,1,Greenwich Village, Downtown Manhattan
9214,Spruce Street,"7,495",2 Bed,2,Financial District, Downtown Manhattan
9215,East 3rd Street,"7,000",3 Bed,1,"Alphabet City, East Village", Downtown Manhattan
9216,"12 E 86th St, Apt 1039","5,500",1 Bed,1,Upper East Side, Upper Manhattan
9217,East 55th Street,"4,100",1 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
9218,"East 5th Street, Manhattan, NY...","3,995",1 Bed,1,East Village, Downtown Manhattan
9219,"229 1st Avenue, Apt 2B","3,895",1 Bed,1,East Village, Downtown Manhattan
9220,Water Street,"3,025","Studio
/ Flex 1",1,Financial District, Downtown Manhattan
9221,East 54th Street,"3,850",Studio,1,Midtown East, Midtown Manhattan
9222,Water Street,"7,150",3 Bed,3,Financial District, Downtown Manhattan
9223,1166 1st Avenue,"2,695",1 Bed,1,Upper East Side, Upper Manhattan
9224,"140 East 46th Street, Apt 4A","3,400",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
9225,"620 West 42nd Street, Apt N47J...","4,190",Studio,1,Hudson Yards, Midtown Manhattan
9226,"160 East 88th Street, Apt 14D","4,850",1 Bed,1,Upper East Side, Upper Manhattan
9227,First Avenue,"5,800",3 Bed,1,East Village, Downtown Manhattan
9228,"117 West 13th Street, Apt A31","5,900",2 Bed,1,West Village, Downtown Manhattan
9229,West 34th Street,"5,295",1 Bed,1,"Koreatown, Midtown South", Midtown Manhattan
9230,26th St & 2nd Avenue,"4,900",2 Bed,1,Kips Bay, Midtown Manhattan
9231,26th St & 2nd Avenue,"6,300",3 Bed,2,Kips Bay, Midtown Manhattan
9232,East 14th Street,"3,850",2 Bed,1,East Village, Downtown Manhattan
9233,"125 East 7th St., Apt 2W","5,500",2 Bed,1,East Village, Downtown Manhattan
9234,Wall Street,"3,786","Studio
/ Flex 1",1,Financial District, Downtown Manhattan
9235,West 13th Street,"3,050",Studio,1,West Village, Downtown Manhattan
9236,East 86th Street,"2,900",Studio,1,"Carnegie Hill, Upper East Side", Upper Manhattan
9237,Water Street,"7,604","3 Bed
/ Flex 4",3,Financial District, Downtown Manhattan
9238,Copy of 6th Ave/29,"5,080",Studio,1,Midtown South, Midtown Manhattan
9239,Wall Street,"4,033",1 Bed,1,Financial District, Downtown Manhattan
9240,Gold Street,"3,275",Studio,1,Financial District, Downtown Manhattan
9241,Exchange Place,"3,117",Studio,1,Financial District, Downtown Manhattan
9242,6th Avenue,"8,894",2 Bed,2,NoMad, Midtown Manhattan
9243,East 38th Street,"2,900",Studio,1,Murray Hill, Midtown Manhattan
9244,West 14th Street,"5,895",3 Bed,1,West Village, Downtown Manhattan
9245,"147 East 16th Street, Apt 3P","3,900",Studio,1,Gramercy Park, Midtown Manhattan
9246,"100 John Street, Apt 03202","4,200","Studio
/ Flex 2",1,Financial District, Downtown Manhattan
9247,"116 John Street, Apt 1505","4,120","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
9248,178 East 117th Street,"3,300",2 Bed,2,"East Harlem, Harlem", Upper Manhattan
9249,West 47th Street,"2,750",1 Bed,1,Hell's Kitchen, Midtown Manhattan
9250,"1735 York Ave, Apt 28G","6,650",2 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
9251,West 34th Street,"3,890","1 Bed
/ Flex 2",1,Hudson Yards, Midtown Manhattan
9252,West 79th Street,"6,800",2 Bed,2.5,Upper West Side, Upper Manhattan
9253,"247 East 10th Street, Apt 7","3,666","1 Bed
/ Flex 2",1,East Village, Downtown Manhattan
9254,East 39,"7,400",3 Bed,2,Murray Hill, Midtown Manhattan
9255,Broad Street,"3,195",Studio,1,Financial District, Downtown Manhattan
9256,8th Ave/47,"4,373",1 Bed,1,"Theater District, Midtown", Midtown Manhattan
9257,West 50th Street,"4,182","1 Bed
/ Flex 2",1,"Theater District, Midtown", Midtown Manhattan
9258,West End Avenue,"5,145",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
9259,Mott Street,"4,395",1 Bed,1,NoLita, Downtown Manhattan
9260,East 34th Street,"4,095","1 Bed
/ Flex 2",1,Kips Bay, Midtown Manhattan
9261,East 59th Street,"3,650",2 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
9262,6th Avenue,"7,794",2 Bed,2,NoMad, Midtown Manhattan
9263,Sixth Avenue,"9,903",2 Bed,2,NoMad, Midtown Manhattan
9264,West 24th Street,"3,495",1 Bed,1,Chelsea, Midtown Manhattan
9265,Seventh Ave,"4,200",1 Bed,1,"Theater District, Midtown", Midtown Manhattan
9266,East 55th Street,"7,246",3 Bed,2,"Sutton Place, Midtown East", Midtown Manhattan
9267,Prince Street,"4,250",1 Bed,1,NoLita, Downtown Manhattan
9268,435 West 79th Street,"7,300",3 Bed,2,Upper West Side, Upper Manhattan
9269,Waverly Place,"6,495",1 Bed,1,Greenwich Village, Downtown Manhattan
9270,Studio in East Village,"2,650",Studio,1,East Village, Downtown Manhattan
9271,East 49th Street + 2nd Avenue,"3,950",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
9272,East 64,"7,150",2 Bed,3,Upper East Side, Upper Manhattan
9273,Pine Street,"6,065",2 Bed,2,Financial District, Downtown Manhattan
9274,East 34th Street,"3,535",Studio,1,"Rose Hill, Kips Bay", Midtown Manhattan
9275,Mott Street,"4,295",1 Bed,1,NoLita, Downtown Manhattan
9276,43rd Street & 9th Avenue,"5,295",2 Bed,1,Hell's Kitchen, Midtown Manhattan
9277,East 14th New 2 BR,"3,900",2 Bed,1,"Alphabet City, East Village", Downtown Manhattan
9278,1425 York Avenue,"3,300",2 Bed,1,Upper East Side, Upper Manhattan
9279,East 33rd Street,"4,000","1 Bed
/ Flex 2",1,Kips Bay, Midtown Manhattan
9280,East 84th Street,"2,750",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
9281,Water Street,"2,800",1 Bed,1,Financial District, Downtown Manhattan
9282,West 68th Street,"3,900","1 Bed
/ Flex 2",1,"Lincoln Square, Upper West Side", Upper Manhattan
9283,Fourth Avenue,"4,050",Studio,1,Greenwich Village, Downtown Manhattan
9284,West 23 Street,"3,850",1 Bed,1,Chelsea, Midtown Manhattan
9285,Broome Street,"12,000",2 Bed,2.5,"Hudson Square, SoHo", Downtown Manhattan
9286,46th & 4th,"3,000",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
9287,Spruce Street,"11,067",2 Bed,2,Financial District, Downtown Manhattan
9288,Ridge Street,"3,495",1 Bed,1.5,Lower East Side, Downtown Manhattan
9289,Copy of Gold street,"4,485","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
9290,East 27th Street,"7,200","3 Bed
/ Flex 4",2,"Rose Hill, Kips Bay", Midtown Manhattan
9291,Hanover Square,"4,645","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
9292,West 16 St.,"4,995",2 Bed,1,Chelsea, Midtown Manhattan
9293,West 34th Street,"3,445",Studio,1,"Koreatown, Midtown South", Midtown Manhattan
9294,124th St & St. Nicholas Ave,"4,700",4 Bed,2,"Central Harlem, Harlem", Upper Manhattan
9295,East 46th Street,"4,100",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
9296,East 13th Street & 3rd Ave *NO...,"5,495",3 Bed,2,East Village, Downtown Manhattan
9297,East 44th Street,"3,900",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
9298,West 68th Street,"6,800","2 Bed
/ Flex 3",2,"Lincoln Square, Upper West Side", Upper Manhattan
9299,"145 East 26th Street, Apt 1C","4,995",2 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
9300,"111 E 88th St, Apt 10C","4,600",1 Bed,1,"Carnegie Hill, Upper East Side", Upper Manhattan
9301,W 13th,"6,000",2 Bed,1,West Village, Downtown Manhattan
9302,East 46th Street,"3,850",2 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
9303,"116 John Street, Apt 1505","4,941","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
9304,Water Street,"3,254",Studio,1,Financial District, Downtown Manhattan
9305,"565 Broome St, Apt S7C","12,995",2 Bed,2,"Hudson Square, SoHo", Downtown Manhattan
9306,"145 Sixth Ave, Apt 4C","10,500",2 Bed,1,"Hudson Square, SoHo", Downtown Manhattan
9307,East 94th Street,"4,900","2 Bed
/ Flex 3",2,"Yorkville, Upper East Side", Upper Manhattan
9308,East 29,"4,195",2 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
9309,Astor Place,"6,795",2 Bed,1.5,NoHo, Downtown Manhattan
9310,West 96th Street,"2,695",1 Bed,1,Upper West Side, Upper Manhattan
9311,West 43rd Street,"7,600",3 Bed,3,Hell's Kitchen, Midtown Manhattan
9312,West 43rd,"5,723","2 Bed
/ Flex 3",2,Hudson Yards, Midtown Manhattan
9313,West 45th Street and 8th ave,"2,600",Studio,1,Hell's Kitchen, Midtown Manhattan
9314,East 55th Street,"2,575",Studio,1,Midtown East, Midtown Manhattan
9315,Amsterdam Avenue,"2,650",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
9316,Amsterdam Avenue,"2,600",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
9317,West 50th Street,"3,896",1 Bed,1,"Theater District, Midtown", Midtown Manhattan
9318,Gold Street,"6,495","2 Bed
/ Flex 3",2,Financial District, Downtown Manhattan
9319,Broad Street,"3,621",Studio,1,Financial District, Downtown Manhattan
9320,West 43rd Street,"4,160",1 Bed,1,Hell's Kitchen, Midtown Manhattan
9321,Water Street,"3,895","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
9322,Tudor City Place,"3,500",1 Bed,1,"Tudor City, Midtown East", Midtown Manhattan
9323,Water Street,"7,300","3 Bed
/ Flex 4",3,Financial District, Downtown Manhattan
9324,Lexington Ave and 75th St,"4,300",1 Bed,1,Upper East Side, Upper Manhattan
9325,Spruce Street,"5,000",1 Bed,1,Financial District, Downtown Manhattan
9326,157 East 57th Street,"3,600",1 Bed,1,Midtown East, Midtown Manhattan
9327,"303 E 83rd St, Apt 17B","4,594",2 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
9328,East 94th Street,"5,300",2 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
9329,"784 Columbus Avenue, Apt 15R","5,325",2 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
9330,"271 East 7th Street, Apt 3","6,000",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
9331,Copy of Gold street,"4,485","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
9332,Elizabeth Street,"7,500",3 Bed,2,Little Italy, Downtown Manhattan
9333,West 72nd Street,"4,300",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
9334,East 76th Street and 2nd Ave,"2,550",1 Bed,1,Upper East Side, Upper Manhattan
9335,Gold Street,"3,495",1 Bed,1,Financial District, Downtown Manhattan
9336,Water Street,"4,400",1 Bed,1,Financial District, Downtown Manhattan
9337,Exchange Place,"3,611",1 Bed,1,Financial District, Downtown Manhattan
9338,"246 Mott Street, Apt 7","4,295",1 Bed,1,NoLita, Downtown Manhattan
9339,West 37th,"4,495",1 Bed,1,Midtown South, Midtown Manhattan
9340,Thompson Street,"3,995",1 Bed,1,SoHo, Downtown Manhattan
9341,"168 West 72nd Street, Apt C","4,300",1 Bed,1,Upper West Side, Upper Manhattan
9342,West 31st,"7,360",2 Bed,1,Midtown South, Midtown Manhattan
9343,East 54th Street,"5,195",3 Bed,1,Midtown, Midtown Manhattan
9344,5th Avenue,"8,908",3 Bed,3,Flatiron District, Midtown Manhattan
9345,East 76 Street,"2,550",1 Bed,1,Upper East Side, Upper Manhattan
9346,Christopher Street,"5,400",Studio,1,West Village, Downtown Manhattan
9347,Broad Street,"3,415",Studio,1,Financial District, Downtown Manhattan
9348,Avenue of the Americas and Sev...,"7,971",2 Bed,2,Chelsea, Midtown Manhattan
9349,West 97th and Columbus Avenue,"4,635",2 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
9350,West 98th Street,"5,400",2 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
9351,East 28th Street,"3,495",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
9352,Columbus Place & 59th Street,"3,700",Studio,1,Hell's Kitchen, Midtown Manhattan
9353,East 13th Street,"4,450",2 Bed,1,East Village, Downtown Manhattan
9354,East 94th Street,"3,600","1 Bed
/ Flex 2",1,"Yorkville, Upper East Side", Upper Manhattan
9355,93rd Street & 2nd Avenue,"3,121",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
9356,2nd Avenue,"3,780","1 Bed
/ Flex 2",1,Murray Hill, Midtown Manhattan
9357,"168 West 72nd Street, Apt D","4,500",1 Bed,2,Upper West Side, Upper Manhattan
9358,East 35th Street,"3,995",2 Bed,1,Murray Hill, Midtown Manhattan
9359,E79 th street,"2,180",Studio,1,Upper East Side, Upper Manhattan
9360,"160 East 48th Street, Apt J","5,009",2 Bed,2,"Turtle Bay, Midtown East", Midtown Manhattan
9361,West 68th Street,"6,800",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
9362,Fulton Street,"3,600",2 Bed,1,Financial District, Downtown Manhattan
9363,E 30th St & Madison Ave,"7,495",3 Bed,2,NoMad, Midtown Manhattan
9364,East 57th Street,"7,800",4 Bed,2.5,"Sutton Place, Midtown East", Midtown Manhattan
9365,47.5 East 1st Street,"4,750",2 Bed,2,Bowery, Downtown Manhattan
9366,"96 5th Ave, Apt 6D","5,450",2 Bed,1,Flatiron District, Midtown Manhattan
9367,East 14th Street,"6,995",2 Bed,1,Greenwich Village, Downtown Manhattan
9368,West 106th street,"2,595",1 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
9369,Prince Street,"4,295",1 Bed,1,NoLita, Downtown Manhattan
9370,West 50th Street,"4,306",1 Bed,1,Hell's Kitchen, Midtown Manhattan
9371,Second Avenue,"3,295",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
9372,East 28th Street & 3rd Ave,"3,595",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
9373,East 54th st,"5,000",2 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
9374,"West 207th Street, New York, N...","1,575",Studio,1,Inwood, Upper Manhattan
9375,14th Street off 2nd ave,"3,850",2 Bed,1,East Village, Downtown Manhattan
9376,Reade Street,"4,700",1 Bed,1,Tribeca, Downtown Manhattan
9377,Exchange Place,"4,010",1 Bed,1,Financial District, Downtown Manhattan
9378,3rd Ave and 74th Street,"1,750",Private Room,2,Upper East Side, Upper Manhattan
9379,"53 Murray St, Apt 1","25,000",5 Bed,4,Tribeca, Downtown Manhattan
9380,226 East 25th Street,"4,795",2 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
9381,Riverside Drive,"4,500",3 Bed,2,"Hamilton Heights, West Harlem, Harlem", Upper Manhattan
9382,,"4,650",1 Bed,1,NoMad, Midtown Manhattan
9383,E 30th st /Madison ave,"5,400",2 Bed,1,NoMad, Midtown Manhattan
9384,East 23rd Street,"3,495",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
9385,East 77th Street,"3,250",Studio,1,Upper East Side, Upper Manhattan
9386,East 86th Street,"2,900",Studio,1,Upper East Side, Upper Manhattan
9387,W 37th St,"3,790","1 Bed
/ Flex 2",1,Hudson Yards, Midtown Manhattan
9388,West End Avenue,"3,900",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
9389,37th street,"3,715",Studio,1,Midtown South, Midtown Manhattan
9390,East 10th Street,"3,495",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
9391,Greenwich Street,"11,500",1 Bed,2,West Village, Downtown Manhattan
9392,Maiden Lane,"3,710",1 Bed,1,Financial District, Downtown Manhattan
9393,East 46th Street,"5,500",2 Bed,2,"Turtle Bay, Midtown East", Midtown Manhattan
9394,,"4,350",2 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
9395,Wall Street,"2,895",Studio,1,Financial District, Downtown Manhattan
9396,East 86th Street,"5,500",2 Bed,1,Upper East Side, Upper Manhattan
9397,79 Street,"7,250",3 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
9398,East 47th Street,"7,900",4 Bed,2,"Turtle Bay, Midtown East", Midtown Manhattan
9399,East 57th Street,"4,095",1 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
9400,East 65th Street/ Lenox Hill,"7,100","3 Bed
/ Flex 4",2,Upper East Side, Upper Manhattan
9401,E 95th St,"3,795","1 Bed
/ Flex 2",1,"Yorkville, Upper East Side", Upper Manhattan
9402,West 53rd Street,"3,850",1 Bed,1,Hell's Kitchen, Midtown Manhattan
